# 門
U+9580	門		⿰𠁣𠃛

# Source Code Separation
U+95B2	閲	閱
U+95F5	闵	⿵门文
U+60AF	悯	⿰忄闵
U+2B797	𫞗	⿰氵闵

U+95FE	闾	⿵门呂
U+6988	榈	⿰木闾
U+30C69	𰱩	⿱艹闾

U+9601	阁	⿵门各
U+6401	搁	⿰扌阁

U+960E	阎	⿵门臽
U+302A1	𰊡	⿰土阎
U+2C91B	𬤛	⿰讠阎
U+2C641	𬙁	⿰纟阎
U+2BF81	𫾁	⿰扌阎

U+9619	阙	⿵门欮
U+2B79D	𫞝	⿰氵闕

U+2B534	𫔴	⿵门隹
U+853A	蔺	⿱艹𫔴
U+8E8F	躏	⿰𧾷藺
U+30EA3	𰺣	⿰车藺

U+2CBA0	𬮠	⿵门可
U+2A85B	𪡛	⿰口𬮠
