# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬
U+9D95	鶕	⿰音鳥
U+9D98	鶘	⿰胡鳥
U+9D99	鶙	⿰帝鳥
U+9D9D	鶝	⿰畐鳥
U+9D9E	鶞	⿰盾鳥
U+9D9F	鶟	⿰突鳥
U+9DA0	鶠	⿰匽鳥
U+9DA1	鶡	⿰曷鳥
U+9DA2	鶢	⿰爰鳥
U+9DA3	鶣	⿰扁鳥
U+9DA4	鶤	⿰軍鳥
U+9DA5	鶥	⿰眉鳥
U+9DA7	鶧	⿰英鳥
U+9DA8	鶨	⿰彖鳥
U+9DAC	鶬	⿰倉鳥
U+9DAE	鶮	⿰高鳥
U+9DB0	鶰	⿰員鳥
U+9DB2	鶲	⿰翁鳥
U+9DB4	鶴	⿰隺鳥
U+9DB5	鶵	⿰芻鳥
U+9DB6	鶶	⿰唐鳥
U+9DB8	鶸	⿰弱鳥
U+9DB9	鶹	⿰留鳥
U+9DBA	鶺	⿰脊鳥
U+9DBB	鶻	⿰骨鳥
U+9DBC	鶼	⿰兼鳥
U+9DBE	鶾	⿰𠦝⿱人鳥
U+9DC0	鷀	⿰兹鳥
U+9DC1	鷁	⿰益鳥
U+9DC2	鷂	⿰䍃鳥
U+9DC3	鷃	⿰晏鳥
U+9DC4	鷄	⿰奚鳥
U+9DC5	鷅	⿰栗鳥
U+9DC6	鷆	⿰眞鳥
U+9DC9	鷉	⿰虒鳥
U+9DCA	鷊	⿰鬲鳥
U+9DCB	鷋	⿰荼鳥
U+9DCD	鷍	⿰臬鳥
U+9DCE	鷎	⿰皋鳥
U+9DD0	鷐	⿰晨鳥
U+9DD1	鷑	⿰笠鳥
U+9DD2	鷒	⿰專鳥
U+9DD3	鷓	⿰庶鳥
U+9DD7	鷗	⿰區鳥
U+9DDB	鷛	⿰庸鳥
U+9DDD	鷝	⿰畢鳥
U+9DDE	鷞	⿰爽鳥
U+9DE0	鷠	⿰魚鳥
U+9DE1	鷡	⿰無鳥
U+9DE4	鷤	⿰單鳥
U+9DE6	鷦	⿰焦鳥
U+9DE7	鷧	⿰壹鳥
U+9DEB	鷫	⿰肅鳥
U+9DEC	鷬	⿰黃鳥
U+9DED	鷭	⿰番鳥
U+9DEE	鷮	⿰喬鳥
U+9DEF	鷯	⿰尞鳥
U+9DF3	鷳	⿰閒鳥
U+9DF4	鷴	⿰閑鳥
U+9DF5	鷵	⿰屠鳥
U+9DF6	鷶	⿰買鳥
U+9DF7	鷷	⿰尊鳥
U+9DF8	鷸	⿰矞鳥
U+9DFC	鷼	⿰間鳥
U+9DFE	鷾	⿰意鳥
U+9E00	鸀	⿰蜀鳥
U+9E05	鸅	⿰睪鳥
U+9E06	鸆	⿰虞鳥
U+9E08	鸈	⿰業鳥
U+9E0D	鸍	⿰爾鳥
U+9E0F	鸏	⿰蒙鳥
U+9E10	鸐	⿰翟鳥
U+9E13	鸓	⿰畾鳥
U+9E15	鸕	⿰盧鳥
U+9E16	鸖	⿰霍鳥
U+9E18	鸘	⿰霜鳥
U+9E19	鸙	⿰龠鳥
U+9E1B	鸛	⿰雚鳥
U+9E1C	鸜	⿰瞿鳥
U+9E1D	鸝	⿰麗鳥
U+9FC2	鿂	⿰車鳥
U+3A36	㨶	⿰扌鳥
U+4CA7	䲧	⿰土鳥
U+4CA8	䲨	⿰工鳥
U+4CA9	䲩	⿸尸鳥
U+4CAA	䲪	⿰大鳥
U+4CAE	䲮	⿰元鳥
U+4CAF	䲯	⿰及鳥
U+4CB0	䲰	⿰云鳥
U+4CB2	䲲	⿰公鳥
U+4CB3	䲳	⿰亢鳥
U+4CB4	䲴	⿰火鳥
U+4CB8	䲸	⿰介鳥
U+4CBA	䲺	⿰甘鳥
U+4CBB	䲻	⿰玄鳥
U+4CBD	䲽	⿰石鳥
U+4CBF	䲿	⿰尼鳥
U+4CC2	䳂	⿰召鳥
U+4CC4	䳄	⿰此鳥
U+4CC6	䳆	⿰白鳥
U+4CC7	䳇	⿰母鳥
U+4CC9	䳉	⿰冬鳥
U+4CCA	䳊	⿰犮鳥
U+4CCB	䳋	⿰虫鳥
U+4CCD	䳍	⿰共鳥
U+4CCE	䳎	⿰臼鳥
U+4CCF	䳏	⿰圭鳥
U+4CD1	䳑	⿰有鳥
U+4CD3	䳓	⿰老鳥
U+4CD5	䳕	⿰孚鳥
U+4CD9	䳙	⿰甹鳥
U+4CDA	䳚	⿰旱鳥
U+4CDC	䳜	⿰余鳥
U+4CDD	䳝	⿰咅鳥
U+4CDE	䳞	⿰奉鳥
U+4CDF	䳟	⿰明鳥
U+4CE0	䳠	⿰垂鳥
U+4CE1	䳡	⿰隹鳥
U+4CE2	䳢	⿰其鳥
U+4CE4	䳤	⿰㡀鳥
U+4CE6	䳦	⿰宣鳥
U+4CE8	䳨	⿰皇鳥
U+4CEA	䳪	⿰耑鳥
U+4CEB	䳫	⿰癸鳥
U+4CEC	䳬	⿰革鳥
U+4CED	䳭	⿰卽鳥
U+4CEF	䳯	⿰重鳥
U+4CF0	䳰	⿰保鳥
U+4CF3	䳳	⿰祟鳥
U+4CF4	䳴	⿰眔鳥
U+4CF5	䳵	⿰勑鳥
U+4CFA	䳺	⿰酓鳥
U+4CFD	䳽	⿰崔鳥
U+4CFF	䳿	⿰然鳥
U+4D00	䴀	⿰童鳥
U+4D01	䴁	⿰寓鳥
U+4D03	䴃	⿰堯鳥
U+4D04	䴄	⿰舜鳥
U+4D05	䴅	⿰賁鳥
U+4D06	䴆	⿰菐鳥
U+4D07	䴇	⿰零鳥
U+4D08	䴈	⿰奧鳥
U+4D09	䴉	⿰睘鳥
U+4D0A	䴊	⿰義鳥
U+4D0D	䴍	⿰賏鳥
U+4D0F	䴏	⿰燕鳥
U+4D10	䴐	⿰寶鳥
U+4D11	䴑	⿰疊鳥
U+4D12	䴒	⿰靈鳥
U+20335	𠌵	⿰亻鳥
U+21845	𡡅	⿰女鳥
U+22126	𢄦	⿰巾鳥
U+24855	𤡕	⿰犭鳥
U+2610B	𦄋	⿰糸鳥
U+27723	𧜣	⿰衤鳥
U+28119	𨄙	⿰𧾷鳥
U+29F94	𩾔	⿰七鳥
U+29F97	𩾗	⿰刁鳥
U+29F9E	𩾞	⿰丸鳥
U+29FA5	𩾥	⿰乞鳥
U+29FB2	𩾲	⿰勿鳥
U+29FB5	𩾵	⿰尤鳥
U+29FB7	𩾷	⿰戈鳥
U+29FBA	𩾺	⿰井鳥
U+29FBE	𩾾	⿰爻鳥
U+29FBF	𩾿	⿰父鳥
U+29FC2	𩿂	⿰毛鳥
U+29FC5	𩿅	⿰厷鳥
U+29FDB	𩿛	⿰犬鳥
U+29FDE	𩿞	⿰乍鳥
U+29FE2	𩿢	⿰主鳥
U+29FE6	𩿦	⿰只鳥
U+29FE7	𩿧	⿰付鳥
U+29FE9	𩿩	⿰出鳥
U+29FEA	𩿪	⿰斥鳥
U+29FF6	𩿶	⿰央鳥
U+29FF8	𩿸	⿰巧鳥
U+29FF9	𩿹	⿰去鳥
U+29FFA	𩿺	⿰瓦鳥
U+2A000	𪀀	⿰包鳥
U+2A004	𪀄	⿰占鳥
U+2A005	𪀅	⿰瓜鳥
U+2A006	𪀆	⿰仕鳥
U+2A009	𪀉	⿰可鳥
U+2A015	𪀕	⿰曳鳥
U+2A016	𪀖	⿰尗鳥
U+2A017	𪀗	⿰危鳥
U+2A026	𪀦	⿰式鳥
U+2A028	𪀨	⿰𢆶鳥
U+2A02D	𪀭	⿰同鳥
U+2A03C	𪀼	⿰任鳥
U+2A03D	𪀽	⿰旬鳥
U+2A03F	𪀿	⿰米鳥
U+2A040	𪁀	⿰聿鳥
U+2A043	𪁃	⿰件鳥
U+2A045	𪁅	⿰色鳥
U+2A047	𪁇	⿰充鳥
U+2A048	𪁈	⿰庄鳥
U+2A04B	𪁋	⿰成鳥
U+2A04C	𪁌	⿰赤鳥
U+2A04E	𪁎	⿰肖鳥
U+2A051	𪁑	⿰兌鳥
U+2A053	𪁓	⿰志鳥
U+2A054	𪁔	⿰牢鳥
U+2A056	𪁖	⿰求鳥
U+2A059	𪁙	⿰吾鳥
U+2A05B	𪁛	⿰役鳥
U+2A05C	𪁜	⿰良鳥
U+2A05D	𪁝	⿰𠯑鳥
U+2A061	𪁡	⿰𡥉鳥
U+2A065	𪁥	⿰豕鳥
U+2A067	𪁧	⿰辰鳥
U+2A06A	𪁪	⿰尨鳥
U+2A070	𪁰	⿰豸鳥
U+2A071	𪁱	⿰床鳥
U+2A073	𪁳	⿰呂鳥
U+2A07A	𪁺	⿰尙鳥
U+2A07C	𪁼	⿰帛鳥
U+2A07D	𪁽	⿰卒鳥
U+2A07E	𪁾	⿰芺鳥
U+2A082	𪂂	⿰𠦝鳥
U+2A086	𪂆	⿰昏鳥
U+2A087	𪂇	⿰昌鳥
U+2A088	𪂈	⿰炎鳥
U+2A089	𪂉	⿰或鳥
U+2A091	𪂑	⿰底鳥
U+2A092	𪂒	⿰忽鳥
U+2A095	𪂕	⿰雨鳥
U+2A09E	𪂞	⿰非鳥
U+2A0A0	𪂠	⿰果鳥
U+2A0A9	𪂩	⿰隶鳥
U+2A0AA	𪂪	⿰帚鳥
U+2A0AC	𪂬	⿰虎鳥
U+2A0B6	𪂶	⿰咸鳥
U+2A0B8	𪂸	⿰叜鳥
U+2A0BA	𪂺	⿰急鳥
U+2A0BB	𪂻	⿰弇鳥
U+2A0BE	𪂾	⿰飠鳥
U+2A0C3	𪃃	⿰复鳥
U+2A0C4	𪃄	⿰思鳥
U+2A0C8	𪃈	⿰契鳥
U+2A0C9	𪃉	⿰耎鳥
U+2A0CC	𪃌	⿰昜鳥
U+2A0CD	𪃍	⿰禺鳥
U+2A0CE	𪃎	⿰兪鳥
U+2A0D1	𪃑	⿰冒鳥
U+2A0D2	𪃒	⿰度鳥
U+2A0D3	𪃓	⿰負鳥
U+2A0D4	𪃔	⿰苠鳥
U+2A0D9	𪃙	⿰者鳥
U+2A0DB	𪃛	⿰彥鳥
U+2A0DD	𪃝	⿰待鳥
