# 比
U+6BD4	比	⿰匕匕
U+3F3E	㼾	⿰鹿瓦
U+4D23	䴣	⿰鹿乎
U+4D27	䴧	⿰鹿委
U+4D28	䴨	⿰鹿原
U+4D2B	䴫	⿰鹿零
U+2A2A1	𪊡	⿰鹿包
U+2A2B7	𪊷	⿰鹿孝
U+2A2BA	𪊺	⿰鹿吝
U+2A2CC	𪋌	⿰鹿卒
U+2A2D1	𪋑	⿰鹿者
U+2A2D2	𪋒	⿰鹿香
U+2A2DF	𪋟	⿰鹿章
U+2A2F6	𪋶	⿰鹿霝
U+2A2F8	𪋸	⿰鹿巂
U+2B70C	𫜌	⿰鹿欠
U+2B70D	𫜍	⿰鹿各

# hkcs_m9e7f-p02-s00
U+5876	塶	⿰土鹿
U+645D	摝	⿰扌鹿
U+6A1A	樚	⿰木鹿
U+6F09	漉	⿰氵鹿
U+719D	熝	⿰火鹿
U+8194	膔	⿰⺼鹿
U+87B0	螰	⿰虫鹿
U+8E57	蹗	⿰𧾷鹿
U+8F46	轆	⿰車鹿
U+93D5	鏕	⿰金鹿
U+9A3C	騼	⿰馬鹿
U+9EA4	麤	⿱鹿⿰鹿鹿
U+3719	㜙	⿰女鹿
U+3987	㦇	⿰忄鹿
U+40D9	䃙	⿰石鹿
U+4312	䌒	⿰糸鹿
U+214B2	𡒲	⿲土鹿土
U+2151A	𡔚	⿱𡒲⿰鹿鹿
U+21F02	𡼂	⿰山鹿
U+23288	𣊈	⿰日鹿
U+2484A	𤡊	⿰犭鹿
U+24A1E	𤨞	⿰王鹿
U+25276	𥉶	⿰目鹿
U+256DE	𥛞	⿰示鹿
U+265D3	𦗓	⿰耳鹿
U+26A87	𦪇	⿰舟鹿
U+288B7	𨢷	⿰酉鹿
U+2932B	𩌫	⿰革鹿
U+29A89	𩪉	⿰骨鹿
U+29EAE	𩺮	⿰魚鹿
U+2AD61	𪵡	⿺毛鹿
U+2D29B	𭊛	⿰口鹿

# hkcs_m9e7f-p04-s00
U+9E93	麓	⿱林鹿
U+9E97	麗	⿱丽鹿

# hkcs_m9e7f-p05-s00
U+5875	塵	⿸鹿土
U+9E80	麀	⿸鹿匕

# hkcs_m9e7f-p05-s01
U+93D6	鏖	⿸鹿金
U+9E82	麂	⿸鹿几
U+9E85	麅	⿸鹿包
U+9E86	麆	⿸鹿且
U+9E88	麈	⿸鹿主
U+9E8B	麋	⿸鹿米
U+9E8D	麍	⿸鹿㐬
U+9E8E	麎	⿸鹿辰
U+9E8F	麏	⿸鹿君
U+9E90	麐	⿸鹿吝
U+9E91	麑	⿸鹿兒
U+9E94	麔	⿸鹿咎
U+9E95	麕	⿸鹿囷
U+9E96	麖	⿸鹿京
U+9E9A	麚	⿸鹿叚
U+9E9B	麛	⿸鹿弭
U+9E9C	麜	⿸鹿栗
U+9E9D	麝	⿸鹿射
U+9EA2	麢	⿸鹿霝
U+4D1F	䴟	⿸鹿丸
U+4D24	䴤	⿸鹿生
U+4D25	䴥	⿸鹿加
U+4D29	䴩	⿸鹿票
U+4D2A	䴪	⿸鹿祿
U+26110	𦄐	⿸鹿糸
U+2A291	𪊑	⿸鹿幵
U+2A293	𪊓	⿸鹿文
U+2A2A8	𪊨	⿸鹿旨
U+2A2AF	𪊯	⿸鹿牝
U+2A2B4	𪊴	⿸鹿夋
U+2A2BD	𪊽	⿸鹿困
U+2A2C1	𪋁	⿸鹿豕
U+2A2DB	𪋛	⿸鹿草
U+2A2DD	𪋝	⿸鹿速
U+2A2E7	𪋧	⿸鹿䠶
U+2EB7A	𮭺	⿸鹿鬼

# hkcs_m9e7f-p05-s02
U+9E87	麇	⿸鹿禾
U+9E8C	麌	⿸鹿吳
U+9E98	麘	⿸鹿香
U+9E99	麙	⿸鹿咸
U+4D20	䴠	⿸鹿夭
U+4D22	䴢	⿸鹿木
U+4D26	䴦	⿸鹿言
U+2A29C	𪊜	⿸鹿本
U+2A2B2	𪊲	⿸鹿各

# hkcs_m9e7f-p10-s00
U+9E9E	麞	⿸鹿章
U+9EA0	麠	⿸鹿畺
U+9EA1	麡	⿸鹿齊
U+2A2F5	𪋵	⿸鹿⿰彔彔

# hkcs_m9e7f-v01-p05-s00
U+6176	慶	⿸〓⿱乛𢖻

# hkcs_m9e81
U+25F21	𥼡	⿰米麁

# hkcs_m9ea4
U+2A2FB	𪋻	⿱麤土

# hkcs_m9e87
U+21233	𡈳	⿴囗麇

# hkcs_m9e87-p02-s00
U+6508	攈	⿰扌麇
U+22944	𢥄	⿰忄麇
